EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
BY,39,Belarus,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0334823789942621
UA,40,Ukraine,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.335144774244983
MD,41,Republic of Moldova,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000657292217831127
EE,43,Estonia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0155653320885358
LV,44,Latvia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0577821046668687
LT,45,Lithuania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0108757967414449
CZ,46,Czech Republic,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0436684179759677
SK,47,Slovakia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00372956201307665
SI,48,Slovenia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00363149450755532
HR,49,Croatia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0213760477241367
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.273914810426533
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.122898399233818
GE,54,Georgia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,1.44046461205251e-09
CY,55,Cyprus,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,2.76247708023436e-05
LI,59,Liechtenstein,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,4.13307605776936e-06
DE,60,Germany,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0368936835850972
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,1.88825352938431
NOA,63,North Africa,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.583119043911574
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0135015387503572
AZ,69,Azerbaijan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00428709700901644
RS,72,Serbia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.149244646310806
ME,73,Montenegro,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.332719350879845
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000101532340051093
CAS,80,Caspian Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00331801774161849
TJ,81,Tajikistan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00400017900341118
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,7.76541311650164
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,1.05742045823974
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,3.52712770007128
AL,1,Albania,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0161834482627031
BE,3,Belgium,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0031804371828415
BG,4,Bulgaria,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00585988811274092
DK,6,Denmark,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00310011041852172
FI,7,Finland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0359350986581326
FR,8,France,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.017943357264212
GR,11,Greece,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0131908534672111
HU,12,Hungary,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0163273497036455
IS,13,Iceland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,5.16939093358815e-07
IE,14,Ireland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
