Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,ISO,layer_name,t1,ann_emis_kt
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BY,voc_BY_sector=6,16361.1133728197,16.3611133728197
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BY,voc_BY_sector=7,0,0
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BY,voc_BY_sector=8,0,0
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BY,voc_BY_sector=9,7537.72478134195,7.53772478134195
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BY,voc_BY_sector=10,8857.77199870298,8.85777199870298
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BY,voc_BY_sector=11,48069.991995533,48.069991995533
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BY,voc_BY_sector=12,16103.6799999966,16.1036799999966
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BY,voc_BY_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,CAS,voc_CAS_sector=1,0,0
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,CAS,voc_CAS_sector=2,0,0
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,CAS,voc_CAS_sector=3,0,0
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,CAS,voc_CAS_sector=4,0,0
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,CAS,voc_CAS_sector=5,0,0
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,CAS,voc_CAS_sector=6,0,0
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,CAS,voc_CAS_sector=7,137.893128967675,0.137893128967675
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,CAS,voc_CAS_sector=8,0,0
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,CAS,voc_CAS_sector=9,0,0
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,CAS,voc_CAS_sector=10,0,0
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,CAS,voc_CAS_sector=11,0,0
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,CAS,voc_CAS_sector=12,0,0
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,CAS,voc_CAS_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,CH,voc_CH_sector=1,193.024927130307,0.193024927130307
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,CH,voc_CH_sector=2,6235.37192846287,6.23537192846287
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,CH,voc_CH_sector=3,3535.87676547497,3.53587676547497
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,CH,voc_CH_sector=4,2413.44949069422,2.41344949069422
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,CH,voc_CH_sector=5,31375.292675779,31.375292675779
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,CH,voc_CH_sector=6,6965.46996254485,6.96546996254484
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,CH,voc_CH_sector=7,396.594226477312,0.396594226477312
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,CH,voc_CH_sector=8,149.957449921123,0.149957449921123
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,CH,voc_CH_sector=9,1633.54002946765,1.63354002946765
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,CH,voc_CH_sector=10,1747.93110403085,1.74793110403085
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,CH,voc_CH_sector=11,17360.8983786354,17.3608983786354
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,CH,voc_CH_sector=12,454.8409864035,0.4548409864035
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,CH,voc_CH_sector=13,169.687792870479,0.169687792870479
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,CY,voc_CY_sector=1,66.42540988582,0.06642540988582
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,CY,voc_CY_sector=2,249.214519182882,0.249214519182882
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,CY,voc_CY_sector=3,53.0154430987476,0.0530154430987476
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,CY,voc_CY_sector=4,388.021985533835,0.388021985533835
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,CY,voc_CY_sector=5,2794.91879755958,2.79491879755958
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,CY,voc_CY_sector=6,1440.04731736189,1.44004731736189
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,CY,voc_CY_sector=7,9.36878117316012,0.00936878117316012
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,CY,voc_CY_sector=8,21.0909162754,0.0210909162754
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,CY,voc_CY_sector=9,51.9944844493156,0.0519944844493156
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,CY,voc_CY_sector=10,326.324603427098,0.326324603427098
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,CY,voc_CY_sector=11,1913.882949,1.913882949
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,CY,voc_CY_sector=12,21.8762,0.0218762
