Pollutant,GNFR,ISO2,RepTot_2019,RepTot_2020,RepTot_2021,MapTot,rep21_to_rep19,map21_to_rep21
co,H_Aviation,CH,2.86294868692063,1.56257916968155,1.72357588866523,1.72357588866523,1.66105171565016,1
co,H_Aviation,CY,0.278671950835073,0.0909061645450063,0.140929767638,0.140929767638,1.97738175195808,1
co,H_Aviation,CZ,2.73205805549271,1.48063141523606,1.47153056931996,1.47153056931996,1.85660978606464,1
co,H_Aviation,DE,8.69095402276232,4.23879602223049,4.7017347911709,4.7017347911709,1.84845688001853,1
co,H_Aviation,DK,1.80562907339932,1.20458273893992,0.935076696122024,0.935076696122025,1.93099569360211,1
co,H_Aviation,EE,0.192878,0.101334,0.132965,0.132965000000001,1.45059226112135,1
co,H_Aviation,ES,6.21789926610602,2.35698463841741,3.15901005475208,3.15901005475208,1.96830625997928,1
co,H_Aviation,FI,1.16791470503989,0.448048740569187,0.422780717048544,0.422780717048543,2.76245972898946,0.999999999999998
co,H_Aviation,FR,10.4634369814117,5.89662863539497,7.26244338478394,7.26244338478395,1.44075986923828,1
co,H_Aviation,GB,16.604868407712,5.175906605915,13.51682571404,13.51682571404,1.22845916334221,1
co,H_Aviation,GR,1.36197785895007,0.542745852600934,0.901687721832,0.901687721832,1.51047621695777,1
co,H_Aviation,HR,1.04025959044,0.610031106384,,0.610031106384001,,
co,H_Aviation,HU,0.342819913642,0.127042574037,0.157138494822,0.157138494822,2.18164183149605,1
co,H_Aviation,IE,1.410091379158,0.405239269786,0.362041034429,0.362041034429,3.89483855436982,1
co,H_Aviation,IS,0.42945220025147,0.160659794517793,0.266507660599792,0.266507660599792,1.61140658878233,1
co,H_Aviation,IT,5.77466026628731,2.19059975397108,2.721702769425,2.721702769425,2.12170863444699,1
co,H_Aviation,KZ,560.15688,247.93212,603.47,,0.928226556415398,
co,H_Aviation,LI,2.91368e-05,2.07944e-05,2.156e-05,2.156e-05,1.35142857142857,1
co,H_Aviation,LT,0.325140109761348,0.21081301850048,0.218283428807558,0.218283428807558,1.48953180522007,1
co,H_Aviation,LU,0.791988644,0.492866912,0.58854333,0.588543329999999,1.34567601675139,0.999999999999999
co,H_Aviation,LV,0.2463271,0.1343552,0.1477569,0.1477569,1.66711063916474,1
co,H_Aviation,MC,1.2184510158,0.58516781184,0.81392358492,0.81392358492,1.49700910303485,1
co,H_Aviation,MD,0.392855282253,0.1526687545,,0.300840328360055,,
co,H_Aviation,ME,0.2888168,0.2888168,0.2888168,,1,
co,H_Aviation,MK,0.1330635487239,0.0559532407494,0.0915151361556,0.0915151361556,1.45400590889857,1
co,H_Aviation,MT,0.162286929474003,0.0598266101982394,0.084741542454,0.084741542454,1.91508113700074,1
co,H_Aviation,NL,4.323199854,2.461260845,2.800387189,2.800387189,1.54378647030727,1
co,H_Aviation,NO,2.3641114857,1.4998845699,1.5869904065,1.5869904065,1.48968227912221,1
co,H_Aviation,NOA,,,,2.76607834000904,,
co,H_Aviation,PL,1.4002979630468,0.831997351123576,0.948634771744999,0.948634771744999,1.47611916066599,1
co,H_Aviation,PT,5.39560901967913,2.89583779688224,3.61687650428264,3.61687650428264,1.49178690875686,1
co,H_Aviation,RO,0.57614730972,0.233855712695,0.262041979141,0.262041979141001,2.19868324765623,1
co,H_Aviation,RS,0.855311200000001,0.4429838,0.6275004,0.6275004,1.36304486817857,1
co,H_Aviation,RU,1.494801,1.679936238,,1.69640284102304,,
co,H_Aviation,RUE,,,,2.20594656635624,,
co,H_Aviation,SE,1.30956762513595,0.39999093457961,0.47732445429634,0.47732445429634,2.74355862841028,1
co,H_Aviation,SI,0.59851899305312,0.520231586863651,0.539954104151131,0.539954104151131,1.10846271646376,1
co,H_Aviation,SK,0.0791605959657808,0.0320324971529491,0.039455680688,0.0394556806880001,2.00631682397654,1
co,H_Aviation,TR,13.78335368106,7.3825496863115,10.280965914597,,1.34066718979102,
co,H_Aviation,UA,319.2,326.4,,,,
co,O_AviCruise,AT,1.88559720515305,0.913083509681021,1.07047607326683,,1.76145665675522,
co,O_AviCruise,BE,4.9981085467,36.8775950044,44.3157608844,,0.112783994835107,
co,O_AviCruise,BG,246.861876,142.34454,169.874604,,1.45320059730647,
co,O_AviCruise,BY,0.2112,0.1631,0.2316,,0.911917098445596,
co,O_AviCruise,CA,44.7071527573719,29.467957697109,33.568042867459,,1.33183673930276,
