ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
FR,2010,2010,L_AgriOther,sox,235.296965463739,10,eu,12,sec12,AgriOther,EMEP_unprocessed
GB,2010,2010,A_PublicPower,sox,172660.336863703,1,eu,1,sec01,PublicPower,EMEP_unprocessed
GB,2010,2010,B_Industry,sox,182130.679175272,3,eu,2,sec02,Industry,EMEP_unprocessed
GB,2010,2010,C_OtherStationaryComb,sox,38468.364409522,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
GB,2010,2010,D_Fugitive,sox,19613.353843765,5,eu,4,sec04,Fugitive,EMEP_unprocessed
GB,2010,2010,E_Solvents,sox,783.769738663004,6,eu,5,sec05,Solvents,EMEP_unprocessed
GB,2010,2010,F_RoadTransport,sox,478.405898779,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
GB,2010,2010,G_Shipping,sox,30740.6787666099,8,eu,7,sec07,Shipping,EMEP_unprocessed
GB,2010,2010,H_Aviation,sox,774.455717572,8,eu,8,sec08,Aviation,EMEP_unprocessed
GB,2010,2010,I_Offroad,sox,14301.445492385,8,eu,9,sec09,Offroad,EMEP_unprocessed
GB,2010,2010,J_Waste,sox,878.415818460001,9,eu,10,sec10,Waste,EMEP_unprocessed
GE,2010,2010,A_PublicPower,sox,541.27,1,eu,1,sec01,PublicPower,EMEP_unprocessed
GE,2010,2010,B_Industry,sox,1612.52,3,eu,2,sec02,Industry,EMEP_unprocessed
GE,2010,2010,C_OtherStationaryComb,sox,590.69,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
GE,2010,2010,D_Fugitive,sox,0.08,5,eu,4,sec04,Fugitive,EMEP_unprocessed
GE,2010,2010,F_RoadTransport,sox,4227.93,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
GE,2010,2010,H_Aviation,sox,3.9,8,eu,8,sec08,Aviation,EMEP_unprocessed
GE,2010,2010,I_Offroad,sox,120.28,8,eu,9,sec09,Offroad,EMEP_unprocessed
GE,2010,2010,J_Waste,sox,86.95,9,eu,10,sec10,Waste,EMEP_unprocessed
GE,2010,2010,L_AgriOther,sox,71.28,10,eu,12,sec12,AgriOther,EMEP_unprocessed
GR,2010,2010,A_PublicPower,sox,166061.517424304,1,eu,1,sec01,PublicPower,EMEP_unprocessed
GR,2010,2010,B_Industry,sox,33192.4728033406,3,eu,2,sec02,Industry,EMEP_unprocessed
GR,2010,2010,C_OtherStationaryComb,sox,5115.27824591832,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
GR,2010,2010,E_Solvents,sox,0.348206,6,eu,5,sec05,Solvents,EMEP_unprocessed
GR,2010,2010,F_RoadTransport,sox,124.860822590292,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
GR,2010,2010,G_Shipping,sox,28400,8,eu,7,sec07,Shipping,EMEP_unprocessed
GR,2010,2010,H_Aviation,sox,103.833732214,8,eu,8,sec08,Aviation,EMEP_unprocessed
GR,2010,2010,I_Offroad,sox,70.4096906685097,8,eu,9,sec09,Offroad,EMEP_unprocessed
GR,2010,2010,J_Waste,sox,228.788896561623,9,eu,10,sec10,Waste,EMEP_unprocessed
GR,2010,2010,L_AgriOther,sox,192.72423005351,10,eu,12,sec12,AgriOther,EMEP_unprocessed
HR,2010,2010,A_PublicPower,sox,8967.60394883001,1,eu,1,sec01,PublicPower,EMEP_unprocessed
HR,2010,2010,B_Industry,sox,16159.6579569297,3,eu,2,sec02,Industry,EMEP_unprocessed
HR,2010,2010,C_OtherStationaryComb,sox,3643.81235709,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
HR,2010,2010,D_Fugitive,sox,2715.7081439332,5,eu,4,sec04,Fugitive,EMEP_unprocessed
HR,2010,2010,E_Solvents,sox,0.54662,6,eu,5,sec05,Solvents,EMEP_unprocessed
HR,2010,2010,F_RoadTransport,sox,1906.01381591782,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
HR,2010,2010,G_Shipping,sox,191.328851117423,8,eu,7,sec07,Shipping,EMEP_unprocessed
HR,2010,2010,H_Aviation,sox,52.296603126,8,eu,8,sec08,Aviation,EMEP_unprocessed
HR,2010,2010,I_Offroad,sox,1403.52238497231,8,eu,9,sec09,Offroad,EMEP_unprocessed
HR,2010,2010,J_Waste,sox,9.09101228768442,9,eu,10,sec10,Waste,EMEP_unprocessed
HR,2010,2010,L_AgriOther,sox,42.2743279499892,10,eu,12,sec12,AgriOther,EMEP_unprocessed
HU,2010,2010,A_PublicPower,sox,11680.7455336105,1,eu,1,sec01,PublicPower,EMEP_unprocessed
HU,2010,2010,B_Industry,sox,4617.0721401343,3,eu,2,sec02,Industry,EMEP_unprocessed
HU,2010,2010,C_OtherStationaryComb,sox,11685.0466745526,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
HU,2010,2010,D_Fugitive,sox,867.454608375804,5,eu,4,sec04,Fugitive,EMEP_unprocessed
HU,2010,2010,E_Solvents,sox,1.7612683965678,6,eu,5,sec05,Solvents,EMEP_unprocessed
HU,2010,2010,F_RoadTransport,sox,43.3254140583535,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
HU,2010,2010,G_Shipping,sox,0.133333333333333,8,eu,7,sec07,Shipping,EMEP_unprocessed
HU,2010,2010,H_Aviation,sox,23.916290331182,8,eu,8,sec08,Aviation,EMEP_unprocessed
HU,2010,2010,I_Offroad,sox,14.78569453,8,eu,9,sec09,Offroad,EMEP_unprocessed
HU,2010,2010,J_Waste,sox,75.2546722343226,9,eu,10,sec10,Waste,EMEP_unprocessed
HU,2010,2010,L_AgriOther,sox,0.21652764,10,eu,12,sec12,AgriOther,EMEP_unprocessed
IE,2010,2010,A_PublicPower,sox,9783.41968658604,1,eu,1,sec01,PublicPower,EMEP_unprocessed
IE,2010,2010,B_Industry,sox,7395.02909781883,3,eu,2,sec02,Industry,EMEP_unprocessed
IE,2010,2010,C_OtherStationaryComb,sox,9640.18690355892,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
IE,2010,2010,E_Solvents,sox,0.137780903822801,6,eu,5,sec05,Solvents,EMEP_unprocessed
IE,2010,2010,F_RoadTransport,sox,41.7049020030187,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
IE,2010,2010,G_Shipping,sox,96.4508468683217,8,eu,7,sec07,Shipping,EMEP_unprocessed
IE,2010,2010,H_Aviation,sox,66.3975396457643,8,eu,8,sec08,Aviation,EMEP_unprocessed
IE,2010,2010,I_Offroad,sox,394.964367522944,8,eu,9,sec09,Offroad,EMEP_unprocessed
IE,2010,2010,J_Waste,sox,1.20551016745,9,eu,10,sec10,Waste,EMEP_unprocessed
IS,2010,2010,A_PublicPower,sox,15.803524,1,eu,1,sec01,PublicPower,EMEP_unprocessed
IS,2010,2010,B_Industry,sox,12588.169276724,3,eu,2,sec02,Industry,EMEP_unprocessed
IS,2010,2010,C_OtherStationaryComb,sox,0.651505446000004,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
IS,2010,2010,D_Fugitive,sox,58680.4705882353,5,eu,4,sec04,Fugitive,EMEP_unprocessed
IS,2010,2010,E_Solvents,sox,1.48117712000001,6,eu,5,sec05,Solvents,EMEP_unprocessed
IS,2010,2010,F_RoadTransport,sox,3.11335359263735,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
IS,2010,2010,G_Shipping,sox,0.95288,8,eu,7,sec07,Shipping,EMEP_unprocessed
IS,2010,2010,H_Aviation,sox,15.1062442406219,8,eu,8,sec08,Aviation,EMEP_unprocessed
IS,2010,2010,I_Offroad,sox,24.366132,8,eu,9,sec09,Offroad,EMEP_unprocessed
IS,2010,2010,J_Waste,sox,11.534579065114,9,eu,10,sec10,Waste,EMEP_unprocessed
