Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,terrestrial,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sea,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,outwith,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,111.486617371195,7.89455689100095,8.16724632558264,8.19989464996792,8.28336446565469,8.79493400720682,9.87917758864201,11.0520065299886,11.4902114905543,11.1268029638281,10.1439332458793,8.60994255216905,7.84454666072039,111.486617371195,1
ie,sea,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,0.000492126855245683,3.4848339181293e-05,3.60520513134192e-05,3.61961683167656e-05,3.6564622745382e-05,3.88228050784712e-05,4.36088986620218e-05,4.87860278301293e-05,5.07203624998969e-05,4.91161960120771e-05,4.47775893271163e-05,3.80062114355595e-05,3.46275828435513e-05,0.000492126855245683,1
ie,outwith,voc,masked,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,25692.4996366663,1652.01983305396,1768.79986679081,1881.27397474864,2171.98435546111,2545.42275421174,2805.55294168882,2775.75637728387,2417.39022646968,2134.21910511451,2048.47745684694,1833.3681357231,1658.23460927287,25692.4996366661,1.00000000000001
uk,sea,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,1057.62720819681,68.0051045490778,72.8123340051776,77.4423107873571,89.409352246724,104.781877952257,115.490091159998,114.26352085072,99.5114415685234,87.8547523885641,84.3252125864494,75.4702753878646,68.2609347141061,1057.62720819682,0.999999999999988
uk,outwith,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,6446.41474914204,414.502487818505,443.803355485441,472.023838454766,544.964957943136,638.663073566211,703.931424289722,696.45527307944,606.538882192155,535.489411761128,513.976276261477,460.003952821526,416.061815468495,6446.414749142,1.00000000000001
ie,terrestrial,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,388.519911901978,29.158807841092,29.8920082433869,31.4030750360693,32.648334556909,33.3844014500349,33.8826372888669,33.7564491045629,33.0933703047605,33.5482544558323,34.4272034919009,32.895734500679,30.4296356278817,388.519911901976,1
ie,sea,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,4.72117983567884,0.354329267032598,0.363238902932291,0.381600942697624,0.396732970580574,0.405677439234763,0.411731854783737,0.410198453037826,0.402140914252317,0.407668532826865,0.418349263308228,0.39973930201969,0.369771992972292,4.72117983567881,1.00000000000001
ie,outwith,voc,masked,2022,2024,sec09,I_Offroad,8,Offroad,month,19.9317826984433,1.49590021986043,1.53351474268214,1.61103523527975,1.67491932824937,1.7126809072983,1.73824131789227,1.7317676330396,1.69775047678898,1.72108686644218,1.76617856098132,1.68761139825091,1.56109601167816,19.9317826984434,0.999999999999996
uk,terrestrial,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,22361.7377896019,1863.46070815289,1863.46209841813,1863.46740642905,1863.47684528319,1863.48632955845,1863.49315074835,1863.49558308655,1863.49355787876,1863.48802650049,1863.48013152148,1863.47038712711,1863.46356489749,22361.737789602,0.999999999999997
uk,sea,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,0.353370483910348,0.0294472647154501,0.0294472866850626,0.0294473705646966,0.0294475197218201,0.0294476695967063,0.0294477773882915,0.029447815825222,0.0294477838219549,0.0294476964125664,0.0294475716524701,0.0294474176670614,0.0294473098590454,0.353370483910348,1
uk,outwith,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,452.061782248846,37.671808716472,37.6718054467361,37.6718078996523,37.6718144392947,37.6718197480447,37.6718214907903,37.6718209652336,37.6718189372034,37.6718173339938,37.6718170608668,37.6718165579521,37.6718136526068,452.061782248847,1
ie,sea,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
