EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
PL,19,Poland,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,13.9897255331653
PT,20,Portugal,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0502606708919948
RO,21,Romania,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,2.24662009430937
ES,22,Spain,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0996413770635436
SE,23,Sweden,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.152801696932773
CH,24,Switzerland,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0254169817805032
TR,25,Turkey,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,33.0441773687868
GB,27,United Kingdom,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.689032525335447
NOS,31,North Sea,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.486109181053272
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,3.01468055419475
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,25.1240108403744
BLS,34,Black Sea,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,4.23559180808321
BY,39,Belarus,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,2.70891837524496
UA,40,Ukraine,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,14.126826633374
MD,41,Republic of Moldova,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.00227943860250525
EE,43,Estonia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.183305895994649
LV,44,Latvia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0940785279340134
LT,45,Lithuania,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0653854099247255
CZ,46,Czech Republic,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,2.25399562253297
SK,47,Slovakia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.195319131986156
SI,48,Slovenia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.141684072985309
HR,49,Croatia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.00939670512634257
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.00267453956604004
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,7.32583726501465
GE,54,Georgia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.198729119156386
CY,55,Cyprus,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.02429554383819
LI,59,Liechtenstein,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.000879649215839891
DE,60,Germany,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,7.48534532266119
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,15.6567617670649
NOA,63,North Africa,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,30.2454776761704
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.598213418187312
AZ,69,Azerbaijan,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,1.45153352546692
RS,72,Serbia,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,36.3084410309494
ME,73,Montenegro,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,3.974325438539
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0757297325134277
